;;;;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE;PROXIMITE;ELECTRONIQUE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE
id_departement;libelle_de_commune;annee;population;hypermarche;supermarche;grande_surface_de_bricolage;superette;epicerie;boulangerie;boucherie_charcuterie;produits_surgeles;poissonnerie;librairie_papeterie_journaux;magasin_de_vetements;magasin_d_equipements_du_foyer;magasin_de_chaussures;magasin_d_electromenager_et_de_mat_audio_video;magasin_de_meubles;magasin_d_articles_de_sports_et_de_loisirs;magasin_de_revetements_murs_et_sols;droguerie_quincaillerie_bricolage;parfumerie;horlogerie_bijouterie;fleuriste;magasin_d_optique;station_service
75;Paris 10e Arrondissement;1995;C;0;21;3;26;153;85;68;7;8;114;496;44;46;53;32;15;16;17;78;34;37;40;2
75;Paris 11e Arrondissement;1995;0;0;28;5;29;154;128;68;10;7;137;380;65;46;60;99;35;14;36;36;25;54;61;1
75;Paris 12e Arrondissement;1995;0;0;25;4;21;106;123;53;10;8;126;189;49;31;39;72;26;7;31;37;28;45;57;8
75;Paris 13e Arrondissement;1995;0;3;28;4;24;114;104;48;10;4;87;171;30;27;28;18;18;5;10;27;31;38;46;6
75;Paris 14e Arrondissement;1995;0;1;28;3;12;105;108;47;7;8;104;251;49;42;18;37;21;5;23;35;31;49;42;3
75;Paris 15e Arrondissement;1995;0;3;47;10;32;132;147;71;14;14;180;352;70;72;43;60;28;20;30;72;52;123;70;12
75;Paris 16e Arrondissement;1995;0;4;26;2;20;107;105;57;5;13;125;503;76;82;36;60;23;19;24;72;69;70;69;10
75;Paris 17e Arrondissement;1995;0;2;29;3;30;137;133;77;9;14;145;468;63;79;40;72;37;16;27;63;46;77;73;4
75;Paris 18e Arrondissement;1995;0;0;33;44;20;260;155;116;9;20;106;473;67;52;59;28;11;6;30;86;67;46;61;4
75;Paris 19e Arrondissement;1995;0;0;27;4;32;127;118;68;10;11;111111111;193;19;28;26;13;4;3;11;31;19;30;54;8
75;Paris 1er Arrondissement;1995;0;1;2;2;9;25;36;10;0;2;82;608;28;99;15;33;21;5;7;82;130;33;31;1
75;Paris 20e Arrondissement;1995;0;2;34;7;27;184;124;84;8;5;96;258;35;41;49;36;9;7;22;34;30;45;50;4
75;Paris 2e Arrondissement;1995;0;0;4;4;9;23;29;10;1;1;72;469;22;41;12;13;8;3;7;30;54;14;31;0
75;Paris 3e Arrondissement;1995;0;1;4;1;12;34;36;5;3;1;29;350;34;51;12;32;13;2;14;30;52;20;27;0
75;Paris 4e Arrondissement;1995;0;0;3;1;8;42;45;16;0;2;74;315;65;46;12;22;11;2;4;37;34;37;36;0
75;Paris 5e Arrondissement;1995;0;0;6;3;11;66;73;28;6;6;179;134;29;22;15;19;39;5;13;20;20;30;29;1
75;Paris 6e Arrondissement;1995;0;0;7;1;12;40;56;18;2;5;176;610;69;135;8;45;12;12;7;41;67;26;44;0
75;Paris 7e Arrondissement;1995;0;0;15;0;11;46;56;22;2;4;92;253;70;49;10;86;7;18;11;28;44;39;33;3
75;Paris 8e Arrondissement;1995;0;0;23;1;13;51;61;15;5;1;127;650;106;113;45;68;29;17;9;98;141;39;91;4
75;Paris 9e Arrondissement;1995;0;0;19;1;17;98;78;34;2;4;156;449;60;94;50;32;15;2;8;74;92;37;61;0
77;Achères-la-Forêt;1995;1242;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
