ville;mediane_niveau_de_vie_2019;part_menages_fiscaux_imposés_2019
L'Abergement-Clémenciat;23310;
L'Abergement-de-Varey;24290;
Ambérieu-en-Bugey;19860;49
Ambérieux-en-Dombes;23370;
Ambléon;23970;
Ambronay;22380;57
Ambutrix;25330;
Andert-et-Condon;23250;
Anglefort;22360;
Apremont;24540;
Aranc;20960;
Arandas;20910;
Arbent;20470;53
Arboys en Bugey;23090;
Arbigny;20030;
Argis;19040;
Armix;;
Ars-sur-Formans;24160;
Artemare;20150;
Asnières-sur-Saône;;
Attignat;22030;58
Bâgé-Dommartin;22010;55
Bâgé-le-Châtel;21040;
Balan;23730;
Baneins;23390;
Beaupont;19700;
Beauregard;21040;
Bellignat;19450;47
Béligneux;21390;52
Valserhône;21660;45
Belley;19050;46
Belleydoux;23540;
Valromey-sur-Séran;22490;
Bénonces;21060;
Bény;22020;
Béon;20690;
Béréziat;20830;
Bettant;22570;
Bey;23640;
Beynost;27030;70
Billiat;25670;
Birieux;25650;
Biziat;21790;
Blyes;25940;
La Boisse;24490;64
Boissey;19460;
Bolozon;;
Bouligneux;25970;
Bourg-en-Bresse;18530;46
Bourg-Saint-Christophe;25800;
Boyeux-Saint-Jérôme;20930;
Boz;20820;
Brégnier-Cordon;21600;
Brénod;22220;
Brens;23080;
Bressolles;27570;
Brion;23110;
Briord;21390;
Buellas;24530;
La Burbanche;;
Ceignes;23570;
Cerdon;20520;
Certines;23260;
Cessy;37570;61
Ceyzériat;23180;64
Ceyzérieu;23120;
Chalamont;21650;49
Chaleins;23430;
Chaley;20730;
Challes-la-Montagne;22110;
Challex;40730;
Champagne-en-Valromey;20990;
Champdor-Corcelles;21300;
Champfromier;23620;
Chanay;24850;
Chaneins;23720;
Chanoz-Châtenay;22180;
La Chapelle-du-Châtelard;22610;
Charix;23460;
Charnoz-sur-Ain;26450;
Château-Gaillard;22250;56
Châtenay;22550;
Châtillon-la-Palud;22990;
Châtillon-sur-Chalaronne;21600;51
Chavannes-sur-Reyssouze;21230;
Nivigne et Suran;20680;
Chaveyriat;22310;
Chazey-Bons;20940;
Chazey-sur-Ain;24350;
Cheignieu-la-Balme;20450;
Chevillard;24100;
Chevroux;21900;
Chevry;37620;
Chézery-Forens;25050;
Civrieux;26440;
Cize;20920;
Cleyzieu;22350;
Coligny;20710;
Collonges;30440;42
Colomieu;20870;
Conand;20320;
Condamine;22570;
Condeissiat;21050;
Confort;28150;
Confrançon;21370;
Contrevoz;21560;
Conzieu;19840;
Corbonod;24020;
Corlier;21710;
Cormoranche-sur-Saône;23600;
Cormoz;20980;
Corveissiat;22390;
Courmangoux;23020;
Courtes;20130;
Crans;23390;
Bresse Vallons;21940;57
Cressin-Rochefort;23370;
Crottet;22430;
Crozet;36680;52
Cruzilles-lès-Mépillat;22420;
Culoz;19870;47
Curciat-Dongalon;19400;
Curtafond;23350;
Cuzieu;24390;
Dagneux;23450;61
Divonne-les-Bains;41970;67
Dompierre-sur-Veyle;20490;
Dompierre-sur-Chalaronne;22410;
Domsure;20340;
Dortan;21930;
Douvres;25630;
Drom;23090;
Druillat;22340;
Échallon;26080;
Échenevex;44990;63
Évosges;21520;
Faramans;23970;
Fareins;25120;62
Farges;31970;
Feillens;22030;56
Ferney-Voltaire;26280;43
Flaxieu;;
Foissiat;21820;52
Francheleins;23610;
Frans;24730;65
Garnerans;22400;
Genouilleux;23350;
Béard-Géovreissiat;21930;
Géovreisset;23120;
Gex;31900;61
Giron;23700;
Gorrevod;20180;
Grand-Corent;22230;
Grièges;22770;
Grilly;46930;
Groissiat;22890;
Guéreins;23580;
Hautecourt-Romanèche;21380;
Plateau d'Hauteville;21640;53
Haut Valromey;21110;
Illiat;21960;
Injoux-Génissiat;25770;
Innimond;;
Izenave;22050;
Izernore;21770;60
Izieu;22050;
Jassans-Riottier;21950;53
Jasseron;23700;
Jayat;21620;
Journans;23640;
Joyeux;23140;
Jujurieux;21150;
Labalme;21700;
Lagnieu;21910;54
Laiz;22720;
Le Poizat-Lalleyriat;24160;
Lantenay;24350;
Lapeyrouse;23770;
Lavours;20960;
Léaz;27620;
Lélex;22800;
Lent;22940;
Lescheroux;19620;
Leyment;22520;
Leyssard;22760;
Surjoux-Lhopital;23000;
Lhuis;21160;
Lompnas;17660;
Loyettes;21430;52
Lurcy;25200;
Magnieu;22750;
Maillat;24060;
Malafretaz;22000;
Mantenay-Montlin;19230;
Manziat;22770;60
Marboz;22110;53
Marchamp;22480;
Marignieu;22000;
Marlieux;22060;
Marsonnas;21050;
Martignat;21190;
Massieux;26130;69
Massignieu-de-Rives;23090;
Matafelon-Granges;23140;
Meillonnas;23460;
Mérignat;18600;
Messimy-sur-Saône;24450;
Meximieux;22580;54
Bohas-Meyriat-Rignat;23760;
Mézériat;21610;51
Mijoux;28010;
Mionnay;26980;73
Miribel;24410;63
Misérieux;25010;
Mogneneins;23550;
Montagnat;25830;71
Montagnieu;21440;
Montanges;25640;
Montceaux;24390;
Montcet;23370;
Le Montellier;26820;
Monthieux;25970;
Montluel;21720;55
Montmerle-sur-Saône;23600;61
Montracol;22540;
Montréal-la-Cluse;19130;48
Montrevel-en-Bresse;21080;49
Nurieux-Volognat;22110;
Murs-et-Gélignieux;22710;
Nantua;17170;42
Neuville-les-Dames;21220;
Neuville-sur-Ain;21160;
Les Neyrolles;19410;
Neyron;28320;72
Niévroz;24790;
Nivollet-Montgriffon;22040;
Oncieu;;
Ordonnaz;21140;
Ornex;34000;46
Outriaz;24310;
Oyonnax;17270;41
Ozan;20900;
Parcieux;26930;
Parves et Nattages;24220;
Péron;36090;47
Péronnas;22740;58
Pérouges;26280;
Perrex;21910;
Peyriat;25440;
Peyrieu;21490;
Peyzieux-sur-Saône;22040;
Pirajoux;21030;
Pizay;25620;
Plagne;25800;
Le Plantay;22840;
Polliat;23090;62
Pollieu;26010;
Poncin;20380;
Pont-d'Ain;21140;50
Pont-de-Vaux;18910;45
Pont-de-Veyle;19750;
Port;21280;
Pougny;32870;
Pouillat;;
Prémeyzel;22550;
Prémillieu;;
Prévessin-Moëns;38720;49
Priay;22380;
Ramasse;22530;
Rancé;25890;
Relevant;23750;
Replonges;22850;61
Revonnas;24880;
Reyrieux;26320;70
